0.010191,4048281,200
0.013636,9587370,200
0.010230,3077075,200
0.009405,4048281,200
0.010160,9587370,200
0.009819,3077075,200
0.010868,4048281,200
0.010556,9587370,200
0.010226,3077075,200
0.009316,4048281,200
0.010147,9587370,200
0.008437,3077075,200
0.010166,4048281,200
0.009589,9587370,200
0.010461,3077075,200
0.009472,4048281,200
0.011871,9587370,200
0.012023,3077075,200
0.012147,4048281,200
0.009697,9587370,200
0.009051,3077075,200
0.010015,4048281,200
0.012011,9587370,200
0.010298,3077075,200
0.010609,4048281,200
0.014597,9587370,200
0.009544,3077075,200
0.008914,4048281,200
0.010846,9587370,200
0.013924,3077075,200
0.010425,4048281,200
0.012037,9587370,200
0.009403,3077075,200
0.010171,4048281,200
0.011259,9587370,200
0.009923,3077075,200
0.009633,4048281,200
0.010578,9587370,200
0.012476,3077075,200
0.009572,4048281,200
0.011836,9587370,200
0.009515,3077075,200
0.009619,4048281,200
0.012353,9587370,200
0.009554,3077075,200
0.008766,4048281,200
0.013058,9587370,200
0.008290,3077075,200
0.009023,4048281,200
0.009575,9587370,200
0.008669,3077075,200
0.010901,4048281,200
0.010161,9587370,200
0.008519,3077075,200
0.013773,4048281,200
0.009269,9587370,200
0.008337,3077075,200
0.009494,4048281,200
0.009726,9587370,200
0.011628,3077075,200
0.010026,4048281,200
0.011116,9587370,200
0.011450,3077075,200
0.010872,4048281,200
0.010133,9587370,200
0.008787,3077075,200
0.009757,4048281,200
0.011694,9587370,200
0.007918,3077075,200
0.008885,4048281,200
0.010404,9587370,200
0.011048,3077075,200
0.010072,4048281,200
0.010418,9587370,200
0.008414,3077075,200
0.011356,4048281,200
0.010227,9587370,200
0.008672,3077075,200
0.012727,4048281,200
0.010589,9587370,200
0.020544,3077075,200
0.008199,4048281,200
0.010932,9587370,200
0.011375,3077075,200
0.011711,4048281,200
0.009534,9587370,200
0.008501,3077075,200
0.008965,4048281,200
0.010710,9587370,200
0.008548,3077075,200
0.009931,4048281,200
0.010411,9587370,200
0.009275,3077075,200
0.012414,4048281,200
0.009618,9587370,200
0.013714,3077075,200
0.009377,4048281,200
0.013919,9587370,200
0.013272,3077075,200
0.012108,4048281,200
